timestamp,target_1d_price,target_3d_price,target_7d_price
2024-06-16,66490.296875,64960.296875,63180.796875
2024-06-17,65140.74609375,64828.65625,60277.4140625
2024-06-18,64960.296875,64096.19921875,61804.640625
2024-06-19,64828.65625,64252.578125,60811.27734375
2024-06-20,64096.19921875,63180.796875,61604.80078125
2024-06-21,64252.578125,60277.4140625,60320.13671875
2024-06-22,63180.796875,61804.640625,60887.37890625
2024-06-23,60277.4140625,60811.27734375,62678.29296875
2024-06-24,61804.640625,61604.80078125,62851.98046875
2024-06-25,60811.27734375,60320.13671875,62029.015625
2024-06-26,61604.80078125,60887.37890625,60173.921875
2024-06-27,60320.13671875,62678.29296875,56977.703125
2024-06-28,60887.37890625,62851.98046875,56662.375
2024-06-29,62678.29296875,62029.015625,58303.5390625
2024-06-30,62851.98046875,60173.921875,55849.109375
2024-07-01,62029.015625,56977.703125,56705.09765625
2024-07-02,60173.921875,56662.375,58009.2265625
2024-07-03,56977.703125,58303.5390625,57742.49609375
2024-07-04,56662.375,55849.109375,57344.9140625
2024-07-05,58303.5390625,56705.09765625,57899.46484375
2024-07-06,55849.109375,58009.2265625,59231.953125
2024-07-07,56705.09765625,57742.49609375,60787.79296875
2024-07-08,58009.2265625,57344.9140625,64870.15234375
2024-07-09,57742.49609375,57899.46484375,65097.1484375
2024-07-10,57344.9140625,59231.953125,64118.79296875
2024-07-11,57899.46484375,60787.79296875,63974.06640625
2024-07-12,59231.953125,64870.15234375,66710.15625
2024-07-13,60787.79296875,65097.1484375,67163.6484375
2024-07-14,64870.15234375,64118.79296875,68154.5234375
2024-07-15,65097.1484375,63974.06640625,67585.25
2024-07-16,64118.79296875,66710.15625,65927.671875
2024-07-17,63974.06640625,67163.6484375,65372.1328125
2024-07-18,66710.15625,68154.5234375,65777.2265625
2024-07-19,67163.6484375,67585.25,67912.0625
2024-07-20,68154.5234375,65927.671875,67813.3359375
2024-07-21,67585.25,65372.1328125,68255.8671875
2024-07-22,65927.671875,65777.2265625,66819.9140625
2024-07-23,65372.1328125,67912.0625,66201.015625
2024-07-24,65777.2265625,67813.3359375,64619.25
2024-07-25,67912.0625,68255.8671875,65357.5
2024-07-26,67813.3359375,66819.9140625,61415.06640625
2024-07-27,68255.8671875,66201.015625,60680.09375
2024-07-28,66819.9140625,64619.25,58116.9765625
2024-07-29,66201.015625,65357.5,53991.45703125
2024-07-30,64619.25,61415.06640625,56034.31640625
2024-07-31,65357.5,60680.09375,55027.4609375
2024-08-01,61415.06640625,58116.9765625,61710.13671875
2024-08-02,60680.09375,53991.45703125,60880.11328125
2024-08-03,58116.9765625,56034.31640625,60945.8125
2024-08-04,53991.45703125,55027.4609375,58719.484375
2024-08-05,56034.31640625,61710.13671875,59354.515625
2024-08-06,55027.4609375,60880.11328125,60609.56640625
2024-08-07,61710.13671875,60945.8125,58737.26953125
2024-08-08,60880.11328125,58719.484375,57560.09765625
2024-08-09,60945.8125,59354.515625,58894.10546875
2024-08-10,58719.484375,60609.56640625,59478.97265625
2024-08-11,59354.515625,58737.26953125,58483.96484375
2024-08-12,60609.56640625,57560.09765625,59493.453125
2024-08-13,58737.26953125,58894.10546875,59012.79296875
2024-08-14,57560.09765625,59478.97265625,61175.19140625
2024-08-15,58894.10546875,58483.96484375,60381.9140625
2024-08-16,59478.97265625,59493.453125,64094.35546875
2024-08-17,58483.96484375,59012.79296875,64178.9921875
2024-08-18,59493.453125,61175.19140625,64333.54296875
2024-08-19,59012.79296875,60381.9140625,62880.66015625
2024-08-20,61175.19140625,64094.35546875,59504.1328125
2024-08-21,60381.9140625,64178.9921875,59027.625
2024-08-22,64094.35546875,64333.54296875,59388.1796875
2024-08-23,64178.9921875,62880.66015625,59119.4765625
2024-08-24,64333.54296875,59504.1328125,58969.8984375
2024-08-25,62880.66015625,59027.625,57325.48828125
2024-08-26,59504.1328125,59388.1796875,59112.48046875
2024-08-27,59027.625,59119.4765625,57431.0234375
2024-08-28,59388.1796875,58969.8984375,57971.5390625
2024-08-29,59119.4765625,57325.48828125,56160.48828125
2024-08-30,58969.8984375,59112.48046875,53948.75390625
2024-08-31,57325.48828125,57431.0234375,54139.6875
2024-09-01,59112.48046875,57971.5390625,54841.56640625
2024-09-02,57431.0234375,56160.48828125,57019.53515625
2024-09-03,57971.5390625,53948.75390625,57648.7109375
2024-09-04,56160.48828125,54139.6875,57343.171875
2024-09-05,53948.75390625,54841.56640625,58127.01171875
2024-09-06,54139.6875,57019.53515625,60571.30078125
2024-09-07,54841.56640625,57648.7109375,60005.12109375
2024-09-08,57019.53515625,57343.171875,59182.8359375
2024-09-09,57648.7109375,58127.01171875,58192.5078125
2024-09-10,57343.171875,60571.30078125,60308.5390625
2024-09-11,58127.01171875,60005.12109375,61649.6796875
2024-09-12,60571.30078125,59182.8359375,62940.45703125
2024-09-13,60005.12109375,58192.5078125,63192.9765625
2024-09-14,59182.8359375,60308.5390625,63394.83984375
2024-09-15,58192.5078125,61649.6796875,63648.7109375
2024-09-16,60308.5390625,62940.45703125,63329.80078125
2024-09-17,61649.6796875,63192.9765625,64301.96875
2024-09-18,62940.45703125,63394.83984375,63143.14453125
2024-09-19,63192.9765625,63648.7109375,65181.01953125
2024-09-20,63394.83984375,63329.80078125,65790.6640625
2024-09-21,63648.7109375,64301.96875,65887.6484375
2024-09-22,63329.80078125,63143.14453125,65635.3046875
2024-09-23,64301.96875,65181.01953125,63329.5
2024-09-24,63143.14453125,65790.6640625,60837.0078125
2024-09-25,65181.01953125,65887.6484375,60632.78515625
2024-09-26,65790.6640625,65635.3046875,60759.40234375
2024-09-27,65887.6484375,63329.5,62067.4765625
2024-09-28,65635.3046875,60837.0078125,62089.94921875
2024-09-29,63329.5,60632.78515625,62818.953125
2024-09-30,60837.0078125,60759.40234375,62236.66015625
2024-10-01,60632.78515625,62067.4765625,62131.96875
2024-10-02,60759.40234375,62089.94921875,60582.1015625
2024-10-03,62067.4765625,62818.953125,60274.5
2024-10-04,62089.94921875,62236.66015625,62445.08984375
2024-10-05,62818.953125,62131.96875,63193.0234375
2024-10-06,62236.66015625,60582.1015625,62851.375
2024-10-07,62131.96875,60274.5,66046.125
2024-10-08,60582.1015625,62445.08984375,67041.109375
2024-10-09,60274.5,63193.0234375,67612.71875
2024-10-10,62445.08984375,62851.375,67399.8359375
2024-10-11,63193.0234375,66046.125,68418.7890625
2024-10-12,62851.375,67041.109375,68362.734375
