timestamp,price
2025-09-13 19:02:05.801,115688.73490201971
2025-09-13 20:01:54.246,115837.62867738264
2025-09-13 21:02:37.176,115975.60665830794
2025-09-13 22:03:07.780,115902.80087265448
2025-09-13 23:02:14.659,115914.67697398618
2025-09-14 00:01:52.178,115974.8873939637
2025-09-14 01:03:41.245,115972.63064708588
2025-09-14 02:02:45.664,116020.94225644319
2025-09-14 03:00:01.850,115908.55482647114
2025-09-14 04:02:34.025,115771.51295218767
2025-09-14 05:01:42.725,115806.95820776705
2025-09-14 06:02:23.630,115931.29222477932
2025-09-14 07:02:27.439,115782.5467124972
2025-09-14 08:02:56.063,115800.96862956286
2025-09-14 09:02:53.749,115974.03122043426
2025-09-14 10:02:48.483,116143.86978301249
2025-09-14 11:02:41.958,116069.58488194742
2025-09-14 12:02:43.745,115882.85033622767
2025-09-14 13:02:44.371,115816.94199120873
2025-09-14 14:03:03.108,115335.02449154813
2025-09-14 15:03:02.402,115424.06207419037
2025-09-14 16:01:41.826,115264.81046966574
2025-09-14 17:06:25.299,115525.17752438669
2025-09-14 18:01:42.783,115618.63633362162
2025-09-14 19:02:37.860,115440.71361146877
2025-09-14 20:02:21.702,115673.89884462305
2025-09-14 21:01:05.532,115854.91350751821
2025-09-14 22:02:42.564,115965.65715814185
2025-09-14 23:02:29.909,116031.2706523723
2025-09-15 00:02:16.596,115278.55251586219
2025-09-15 01:01:04.862,115079.57387944871
2025-09-15 02:00:40.747,115221.82820884661
2025-09-15 03:02:45.175,115416.66833998004
2025-09-15 04:01:18.993,115501.3042235996
2025-09-15 05:03:09.463,116039.88908636587
2025-09-15 06:02:04.567,116552.24107354402
2025-09-15 07:02:40.860,116168.09610340101
2025-09-15 08:02:38.802,115792.1934414128
2025-09-15 09:03:10.656,114850.5440850557
2025-09-15 10:02:53.047,114911.21426941568
2025-09-15 11:00:28.962,114801.40925717361
2025-09-15 12:03:39.535,115033.54381311937
2025-09-15 13:01:24.790,114744.92311789298
2025-09-15 14:02:50.157,114843.50523291624
2025-09-15 15:02:39.051,114840.07931502667
2025-09-15 16:03:04.032,114798.22619184008
2025-09-15 17:00:35.789,114696.00606119882
2025-09-15 18:02:46.067,114913.60325521955
2025-09-15 19:01:40.991,115354.79218701142
2025-09-15 20:01:57.993,115314.09587210546
2025-09-15 21:02:47.117,115315.75715379852
2025-09-15 22:02:24.842,115507.66358734564
2025-09-15 23:02:15.705,115299.78030175949
2025-09-16 00:02:12.908,115356.68489564986
2025-09-16 01:01:09.225,115085.03010859179
2025-09-16 02:02:30.553,115069.45354548478
2025-09-16 03:02:38.044,115082.07756660205
2025-09-16 04:02:46.174,115398.77427960283
2025-09-16 05:02:40.101,115487.13956192977
2025-09-16 06:02:33.105,115983.38149554328
2025-09-16 07:00:02.950,115753.79463886896
2025-09-16 08:02:30.463,115909.95804182389
2025-09-16 09:02:13.582,115685.4644022894
2025-09-16 10:02:30.142,115485.19680005405
2025-09-16 11:06:31.061,115397.94847350479
2025-09-16 12:02:51.237,115345.7791919205
2025-09-16 13:02:51.518,115432.89206598123
2025-09-16 14:02:15.297,115019.09578002297
2025-09-16 15:02:43.751,115260.95453487385
2025-09-16 16:01:31.236,115918.68063027997
2025-09-16 17:02:20.382,116158.42752272532
2025-09-16 18:00:28.989,116536.31650559162
2025-09-16 19:00:50.088,116454.5775062696
2025-09-16 20:02:41.347,116804.43867134045
2025-09-16 21:02:05.078,116882.78170087388
2025-09-16 22:02:26.235,116776.27134667119
2025-09-16 23:00:15.778,116872.96755173472
2025-09-17 00:02:23.026,116797.00205991932
2025-09-17 01:02:47.493,116629.3763135545
2025-09-17 02:00:32.647,116688.52098718812
2025-09-17 03:01:42.025,116732.50964139415
2025-09-17 04:02:32.112,116423.14743464273
2025-09-17 05:01:59.779,116319.91427503152
2025-09-17 06:02:04.771,117162.75477621086
2025-09-17 07:01:05.825,117256.58549060355
2025-09-17 08:01:49.896,117225.48665434263
2025-09-17 09:01:31.391,116877.6478033946
2025-09-17 10:02:37.489,116606.4783652071
2025-09-17 11:00:57.252,116382.44528065142
2025-09-17 12:02:27.236,116279.78693685924
2025-09-17 13:01:35.627,116198.55483548675
2025-09-17 14:03:05.739,116193.74724346046
2025-09-17 15:02:04.553,115634.27808614414
2025-09-17 16:00:42.024,115894.70808566172
2025-09-17 17:02:28.167,115717.01610782724
2025-09-17 18:02:26.116,116031.58519047528
2025-09-17 19:01:57.494,115194.3078037463
2025-09-17 20:02:04.857,115721.45993062394
2025-09-17 21:01:44.192,115649.82358310322
2025-09-17 22:06:51.613,116214.03190192967
2025-09-17 23:02:51.417,116863.39240749434
2025-09-18 00:02:52.110,116455.94648225319
2025-09-18 01:02:16.203,116381.22893627378
2025-09-18 02:02:55.470,116761.69147901927
2025-09-18 03:06:39.301,116969.14904686039
2025-09-18 04:02:37.207,117742.98005985272
2025-09-18 05:07:26.529,117494.17334517208
2025-09-18 06:02:57.922,117217.1473590896
2025-09-18 07:02:52.154,117081.79397034168
2025-09-18 08:02:44.184,117100.80353259912
2025-09-18 09:01:59.701,117246.48259706644
2025-09-18 10:03:21.595,117330.37185111486
2025-09-18 11:01:45.328,117233.96564668287
2025-09-18 12:02:20.779,117085.66810721309
2025-09-18 13:02:52.774,117189.92910452069
